code	label	version
3120	Computer Associate Professionals	isco_1988
3121	Computer assistants	isco_1988
3122	Computer equipment operators	isco_1988
3123	Industrial robot controllers	isco_1988
3130	Optical and Electronic Equipment Operators	isco_1988
3131	Photographers and image and sound recording equipment operators	isco_1988
3132	Broadcasting and telecommunications equipment operators	isco_1988
3133	Medical equipment operators	isco_1988
3139	Optical and electronic equipment operators not elsewhere classified	isco_1988
3140	Ship and Aircraft Controllers and Technicians	isco_1988
3141	Ships' engineers	isco_1988
3142	Ships' deck officers and pilots	isco_1988
3143	Aircraft pilots and related associate professionals	isco_1988
3144	Air traffic controllers	isco_1988
3145	Air traffic safety technicians	isco_1988
3150	Safety and Quality Inspectors	isco_1988
3151	Building and fire inspectors	isco_1988
3152	Safety health and quality inspectors	isco_1988
3200	Life Science and Health Associate Professionals	isco_1988
3210	Life Science Technicians and Related Associate Professionals	isco_1988
3211	Life science technicians	isco_1988
3212	Agronomy and forestry technicians	isco_1988
3213	Farming and forestry advisers	isco_1988
3220	Modern Health Associate Professionals (Except Nursing)	isco_1988
3221	Medical assistants	isco_1988
3222	Sanitarians	isco_1988
3223	Dieticians and nutritionists	isco_1988
3224	Optometrists and opticians	isco_1988
3225	Dental assistants	isco_1988
3226	Physiotherapists and related associate professionals	isco_1988
3227	Veterinary assistants	isco_1988
3228	Pharmaceutical assistants	isco_1988
3229	Modern health associate professionals (except nursing) not elsewhere classified	isco_1988
3230	Nursing and Midwifery Associate Professionals	isco_1988
3231	Nursing associate professionals	isco_1988
3232	Midwifery associate professionals	isco_1988
3240	Traditional Medicine Practitioners and Faith Healers	isco_1988
3241	Traditional medicine practitioners	isco_1988
3242	Faith healers	isco_1988
3300	Teaching Associate Professionals	isco_1988
3310	Primary Education Teaching Associate Professionals	isco_1988
3320	Pre-Primary Education Teaching Associate Professionals	isco_1988
3330	Special Education Teaching Associate Professionals	isco_1988
3340	Other Teaching Associate Professionals	isco_1988
3400	Other Associate Professionals	isco_1988
3410	Finance and Sales Associate Professionals	isco_1988
3411	Securities and finance dealers and brokers	isco_1988
3412	Insurance representatives	isco_1988
3413	Estate agents	isco_1988
3414	Travel consultants and organisers	isco_1988
3415	Technical and commercial sales representatives	isco_1988
3416	Buyers	isco_1988
3417	Appraisers valuers and auctioneers	isco_1988
3419	Finance and sales associate professionals not elsewhere classified	isco_1988
3420	Business Services Agents and Trade Brokers	isco_1988
3421	Trade brokers	isco_1988
3422	Clearing and forwarding agents	isco_1988
3423	Employment agents and labour contractors	isco_1988
3429	Business services agents and trade brokers not elsewhere classified	isco_1988
3430	Administrative Associate Professionals	isco_1988
3431	Administrative secretaries and related associate professionals	isco_1988
3432	Legal and related business associate professionals	isco_1988
3433	Bookkeepers	isco_1988
3434	Statistical mathematical and related associate professionals	isco_1988
3439	Administrative associate professionals not elsewhere classified	isco_1988
3440	Customs Tax and Related Government Associate Professionals	isco_1988
3441	Customs and border inspectors	isco_1988
3442	Government tax and excise officials	isco_1988
3443	Government social benefits officials	isco_1988
3444	Government licensing officials	isco_1988
3449	Customs tax and related government associate professionals not elsewhere classified	isco_1988
3450	Police Inspectors and Detectives	isco_1988
3460	Social Work Associate Professionals	isco_1988
3470	Artistic Entertainment and Sports Associate Professionals	isco_1988
3471	Decorators and commercial designers	isco_1988
3472	Radio television and other announcers	isco_1988
3473	Street night-club and related musicians singers and dancers	isco_1988
3474	Clowns magicians acrobats and related associate professionals	isco_1988
3475	Athletes sportspersons and related associate professionals	isco_1988
3480	Religious Associate Professionals	isco_1988
4000	Clerks	isco_1988
4100	Office Clerks	isco_1988
4110	Secretaries and Keyboard-Operating Clerks	isco_1988
4111	Stenographers and typists	isco_1988
4112	Word-processor and related operators	isco_1988
4113	Data entry operators	isco_1988
4114	Calculating-machine operators	isco_1988
4115	Secretaries	isco_1988
4120	Numerical Clerks	isco_1988
4121	Accounting and bookkeeping clerks	isco_1988
4122	Statistical and finance clerks	isco_1988
4130	Material-Recording and Transport Clerks	isco_1988
4131	Stock clerks	isco_1988
4132	Production clerks	isco_1988
4133	Transport clerks	isco_1988
4140	Library Mail and Related Clerks	isco_1988
4141	Library and filing clerks	isco_1988
4142	Mail carriers and sorting clerks	isco_1988
4143	Coding proof-reading and related clerks	isco_1988
4144	Scribes and related workers	isco_1988
4190	Other Office Clerks	isco_1988
4200	Customer Services Clerks	isco_1988
4210	Cashiers Tellers and Related Clerks	isco_1988
4211	Cashiers and ticket clerks	isco_1988
4212	Tellers and other counter clerks	isco_1988
4213	Bookmakers and croupiers	isco_1988
4214	Pawnbrokers and money-lenders	isco_1988
4215	Debt-collectors and related workers	isco_1988
4220	Client Information Clerks	isco_1988
4221	Travel agency and related clerks	isco_1988
4222	Receptionists and information clerks	isco_1988
4223	Telephone switchboard operators	isco_1988
5000	Service Workers and Shop and Market Sales Workers	isco_1988
5100	Personal and Protective Services Workers	isco_1988
5110	Travel Attendants and Related Workers	isco_1988
5111	Travel attendants and travel stewards	isco_1988
5112	Transport conductors	isco_1988
5113	Travel guides	isco_1988
5120	Housekeeping and Restaurant Services Workers	isco_1988
5121	Housekeepers and related workers	isco_1988
5122	Cooks	isco_1988
5123	Waiters waitresses and bartenders	isco_1988
5130	Personal Care and Related Workers	isco_1988
5131	Child-care workers	isco_1988
5132	Institution-based personal care workers	isco_1988
5133	Home-based personal care workers	isco_1988
5139	Personal care and related workers not elsewhere classified	isco_1988
5140	Other Personal Services Workers	isco_1988
5141	Hairdressers barbers beauticians and related workers	isco_1988
5142	Companions and valets	isco_1988
5143	Undertakers and embalmers	isco_1988
5149	Other personal services workers not elsewhere classified	isco_1988
5150	Astrologers Fortune-Tellers and Related Workers	isco_1988
5151	Astrologers and related workers	isco_1988
5152	Fortune-tellers palmists and related workers	isco_1988
5160	Protective Services Workers	isco_1988
5161	Fire-fighters	isco_1988
5162	Police officers	isco_1988
5163	Prison guards	isco_1988
5169	Protective services workers not elsewhere classified	isco_1988
5200	Models Salespersons and Demonstrators	isco_1988
5210	Fashion and Other Models	isco_1988
5220	Shop Salespersons and Demonstrators	isco_1988
5230	Stall and Market Salespersons	isco_1988
6000	Skilled Agricultural and Fishery Workers	isco_1988
6100	Market-Oriented Skilled Agricultural and Fishery Workers	isco_1988
6110	Market Gardeners and Crop Growers	isco_1988
6111	Field crop and vegetable growers	isco_1988
6112	Tree and shrub crop growers	isco_1988
6113	Gardeners horticultural and nursery growers	isco_1988
6114	Mixed-crop growers	isco_1988
6120	Market-Oriented Animal Producers and Related Workers	isco_1988
6121	Dairy and livestock producers	isco_1988
6122	Poultry producers	isco_1988
6123	Apiarists and sericulturists	isco_1988
6124	Mixed-animal producers	isco_1988
6129	Market-oriented animal producers and related workers not elsewhere classified	isco_1988
6130	Market-Oriented Crop and Animal Producers	isco_1988
6140	Forestry and Related Workers	isco_1988
6141	Forestry workers and loggers	isco_1988
6142	Charcoal burners and related workers	isco_1988
