"Code","Label","Version"
"3212","medical and pathology laboratory technicians ","isco_2008"
"3213","pharmaceutical technicians and assistants","isco_2008"
"3214","medical and dental prosthetic technicians","isco_2008"
"3221","nursing associate professionals","isco_2008"
"3222","midwifery associate professionals","isco_2008"
"3251","dental assistants and therapists","isco_2008"
"3252","medical records and health information technicians","isco_2008"
"3253","community health workers","isco_2008"
"3254","dispensing opticians","isco_2008"
"3255","physiotherapy technicians and assistants","isco_2008"
"3256","medical assistants","isco_2008"
"3257","environmental and occupational health inspectors and associates","isco_2008"
"3258","ambulance workers","isco_2008"
"3259","health associate professionals not elsewhere classified","isco_2008"
"3311","securities and finance dealers and brokers","isco_2008"
"3312","credit and loans officers","isco_2008"
"3313","accounting associate professionals","isco_2008"
"3314","statistical, mathematical and related associate professionals","isco_2008"
"3315","valuers and loss assessors","isco_2008"
"3321","insurance representatives","isco_2008"
"3322","commercial sales representatives","isco_2008"
"3323","buyers","isco_2008"
"3324","trade brokers","isco_2008"
"3331","clearing and forwarding agents","isco_2008"
"3332","conference and event planners","isco_2008"
"3333","employment agents and contractors","isco_2008"
"3334","real estate agents and property managers","isco_2008"
"3339","business services agents not elsewhere classified","isco_2008"
"3341","office supervisors","isco_2008"
"3342","legal secretaries","isco_2008"
"3343","administrative and executive secretaries","isco_2008"
"3344","medical secretaries","isco_2008"
"3351","customs and border inspectors","isco_2008"
"3352","government tax and excise officials","isco_2008"
"3353","government social benefits officials","isco_2008"
"3354","government licensing officials","isco_2008"
"3355","police inspectors and detectives","isco_2008"
"3359","government regulatory associate professionals not elsewhere classified","isco_2008"
"3411","legal and related associate professionals","isco_2008"
"3412","social work associate professionals","isco_2008"
"3413","religious associate professionals","isco_2008"
"3421","athletes and sports players","isco_2008"
"3422","sports coaches, instructors and officials","isco_2008"
"3423","fitness and recreation instructors and programme leaders","isco_2008"
"3431","photographers","isco_2008"
"3432","interior designers and decorators","isco_2008"
"3433","gallery, museum and library technicians","isco_2008"
"3434","chefs","isco_2008"
"3435","other artistic and cultural associate professionals","isco_2008"
"3511","information and communications technology operations technicians","isco_2008"
"3512","information and communications technology user support technicians","isco_2008"
"3513","computer network and systems technicians","isco_2008"
"3514","web technicians","isco_2008"
"3521","broadcasting and audiovisual technicians","isco_2008"
"3522","telecommunications engineering technicians","isco_2008"
"4131","typists and word processing operators","isco_2008"
"4132","data entry clerks","isco_2008"
"4211","bank tellers and related clerks","isco_2008"
"4212","bookmakers, croupiers and related gaming workers","isco_2008"
"4213","pawnbrokers and money-lenders","isco_2008"
"4214","debt collectors and related workers","isco_2008"
"4221","travel consultants and clerks","isco_2008"
"4222","contact centre information clerks","isco_2008"
"4223","telephone switchboard operators","isco_2008"
"4224","hotel receptionists","isco_2008"
"4225","inquiry clerks","isco_2008"
"4226","receptionists (general)","isco_2008"
"4227","survey and market research interviewers","isco_2008"
"4229","client information workers not elsewhere classified","isco_2008"
"4311","accounting and bookkeeping clerks","isco_2008"
"4312","statistical, finance and insurance clerks","isco_2008"
"4313","payroll clerks","isco_2008"
"4321","stock clerks","isco_2008"
"4322","production clerks","isco_2008"
"4323","transport clerks","isco_2008"
"4411","library clerks","isco_2008"
"4412","mail carriers and sorting clerks","isco_2008"
"4413","coding, proofreading and related clerks","isco_2008"
"4414","scribes and related workers","isco_2008"
"4415","filing and copying clerks","isco_2008"
"4416","personnel clerks","isco_2008"
"4419","clerical support workers not elsewhere classified","isco_2008"
"5111","travel attendants and travel stewards","isco_2008"
"5112","transport conductors","isco_2008"
"5113","travel guides","isco_2008"
"5131","waiters","isco_2008"
"5132","bartenders","isco_2008"
"5141","hairdressers","isco_2008"
"5142","beauticians and related workers","isco_2008"
"5151","cleaning and housekeeping supervisors in offices, hotels and other establishments","isco_2008"
"5152","domestic housekeepers","isco_2008"
"5153","building caretakers","isco_2008"
"5161","astrologers, fortune-tellers and related workers","isco_2008"
"5162","companions and valets","isco_2008"
"5163","undertakers and embalmers","isco_2008"
"5164","pet groomers and animal care workers","isco_2008"
"5165","driving instructors","isco_2008"
"5169","personal services workers not elsewhere classified","isco_2008"
"5211","stall and market salespersons","isco_2008"
"5212","street food salespersons","isco_2008"
"5221","shopkeepers","isco_2008"
"5222","shop supervisors","isco_2008"
"5223","shop sales assistants","isco_2008"
"5241","fashion and other models","isco_2008"
"5242","sales demonstrators","isco_2008"
"5243","door-to-door salespersons","isco_2008"
"5244","contact centre salespersons","isco_2008"
"5245","service station attendants","isco_2008"
"5246","food service counter attendants","isco_2008"
"5249","sales workers not elsewhere classified","isco_2008"
"5311","child care workers","isco_2008"
"5312","teachers’ aides","isco_2008"
"5321","health care assistants","isco_2008"
"5322","home-based personal care workers","isco_2008"
"5329","personal care workers in health services not elsewhere classified","isco_2008"
"5411","firefighters","isco_2008"
"5412","police officers","isco_2008"
"5413","prison guards","isco_2008"
"5414","security guards","isco_2008"
"5419","protective services workers not elsewhere classified","isco_2008"
"6111","field crop and vegetable growers","isco_2008"
"6112","tree and shrub crop growers","isco_2008"
"6113","gardeners; horticultural and nursery growers","isco_2008"
