isic_rev4_4dig;isic_rev4_secdig;isic_rev2_4dig;isic_rev2_secdig
2660;"C";3852;
2670;"C";3852;
2731;"C";3852;
2817;"C";3852;
2819;"C";3852;
2829;"C";3852;
3250;"C";3852;
3290;"C";3852;
3313;"C";3852;
3319;"C";3852;
3320;"C";3852;
2652;"C";3853;
3211;"C";3853;
3212;"C";3853;
3319;"C";3853;
162;"A";3901;
1811;"C";3901;
2592;"C";3901;
2599;"C";3901;
2652;"C";3901;
2817;"C";3901;
3211;"C";3901;
3212;"C";3901;
3290;"C";3901;
3311;"C";3901;
3319;"C";3901;
3220;"C";3902;
3319;"C";3902;
2640;"C";3903;
2829;"C";3903;
3220;"C";3903;
3230;"C";3903;
3240;"C";3903;
3290;"C";3903;
3312;"C";3903;
3319;"C";3903;
1313;"C";3909;
1399;"C";3909;
1410;"C";3909;
1512;"C";3909;
1629;"C";3909;
1701;"C";3909;
1709;"C";3909;
1811;"C";3909;
2022;"C";3909;
2029;"C";3909;
2219;"C";3909;
2220;"C";3909;
2599;"C";3909;
2640;"C";3909;
2740;"C";3909;
2790;"C";3909;
2817;"C";3909;
2826;"C";3909;
2829;"C";3909;
3092;"C";3909;
3212;"C";3909;
3240;"C";3909;
3290;"C";3909;
3311;"C";3909;
3312;"C";3909;
3314;"C";3909;
3319;"C";3909;
3320;"C";3909;
3510;"D";4101;
3520;"D";4102;
3530;"D";4103;
3600;"E";4200;
910;"B";5000;
990;"B";5000;
3320;"C";5000;
3900;"E";5000;
4100;"F";5000;
4210;"F";5000;
4220;"F";5000;
4290;"F";5000;
4311;"F";5000;
4312;"F";5000;
4321;"F";5000;
4322;"F";5000;
4329;"F";5000;
4330;"F";5000;
4390;"F";5000;
7110;"M";5000;
7120;"M";5000;
7410;"M";5000;
7490;"M";5000;
3830;"E";6100;
4510;"G";6100;
4530;"G";6100;
4540;"G";6100;
4610;"G";6100;
4620;"G";6100;
4630;"G";6100;
4641;"G";6100;
4649;"G";6100;
4651;"G";6100;
4652;"G";6100;
4653;"G";6100;
4659;"G";6100;
4661;"G";6100;
4662;"G";6100;
4663;"G";6100;
4669;"G";6100;
4690;"G";6100;
4510;"G";6200;
4530;"G";6200;
4540;"G";6200;
4711;"G";6200;
4719;"G";6200;
4721;"G";6200;
4722;"G";6200;
4723;"G";6200;
4730;"G";6200;
4741;"G";6200;
4742;"G";6200;
4751;"G";6200;
4752;"G";6200;
4753;"G";6200;
4759;"G";6200;
4761;"G";6200;
4762;"G";6200;
4763;"G";6200;
4764;"G";6200;
4771;"G";6200;
4772;"G";6200;
4773;"G";6200;
4774;"G";6200;
4781;"G";6200;
4782;"G";6200;
4789;"G";6200;
4791;"G";6200;
4799;"G";6200;
7721;"N";6200;
7722;"N";6200;
7729;"N";6200;
7730;"N";6200;
5610;"I";6310;
5621;"I";6310;
5629;"I";6310;
5630;"I";6310;
5510;"I";6320;
5520;"I";6320;
5590;"I";6320;
3315;"C";7111;"K"
4911;"H";7111;"K"
4912;"H";7111;"K"
4921;"H";7111;"K"
4922;"H";7111;"K"
5221;"H";7111;"K"
5222;"H";7111;"K"
5223;"H";7111;"K"
5510;"I";7111;"K"
5520;"I";7111;"K"
5590;"I";7111;"K"
5610;"I";7111;"K"
5621;"I";7111;"K"
5629;"I";7111;"K"
5630;"I";7111;"K"
3315;"C";7112;"K"
4520;"G";7112;"K"
4921;"H";7112;"K"
4922;"H";7112;"K"
5221;"H";7112;"K"
5222;"H";7112;"K"
5223;"H";7112;"K"
4921;"H";7113;"K"
4922;"H";7113;"K"
3315;"C";7114;
4923;"H";7114;
5221;"H";7114;
5222;"H";7114;
5223;"H";7114;
5320;"H";7114;
4930;"H";7115;
3315;"C";7116;
5221;"H";7116;
5222;"H";7116;
5223;"H";7116;
5224;"H";7116;
7710;"N";7116;
7730;"N";7116;
5011;"H";7121;"K"
5012;"H";7121;"K"
3315;"C";7122;"K"
5021;"H";7122;"K"
5022;"H";7122;"K"
5221;"H";7122;"K"
5222;"H";7122;"K"
5223;"H";7122;"K"
3315;"C";7123;"K"
5221;"H";7123;"K"
5222;"H";7123;"K"
5223;"H";7123;"K"
5224;"H";7123;"K"
5229;"H";7123;"K"
7490;"M";7123;"K"
7730;"N";7123;"K"
5110;"H";7131;
5120;"H";7131;
5320;"H";7131;
3315;"C";7132;
5221;"H";7132;
5222;"H";7132;
5223;"H";7132;
5224;"H";7132;
6110;"J";7132;
6120;"J";7132;
6130;"J";7132;
6190;"J";7132;
7730;"N";7132;
3315;"C";7191;
5221;"H";7191;
5222;"H";7191;
5223;"H";7191;
5229;"H";7191;
5320;"H";7191;
7490;"M";7191;
7911;"N";7191;
7912;"N";7191;
7990;"N";7191;
5210;"H";7192;
5310;"H";7200;
6110;"J";7200;
6120;"J";7200;
6130;"J";7200;
6190;"J";7200;
6399;"J";7200;
7310;"M";7200;
7410;"M";7200;
7490;"M";7200;
8211;"N";7200;
8219;"N";7200;
8220;"N";7200;
8230;"N";7200;
8291;"N";7200;
8299;"N";7200;
8550;"P";7200;
6411;"K";8101;
6419;"K";8101;
6419;"K";8102;
6420;"K";8102;
6430;"K";8102;
6491;"K";8102;
6492;"K";8102;
6499;"K";8102;
6612;"K";8102;
6619;"K";8102;
6630;"K";8102;
7740;"N";8102;
9499;"S";8102;
6419;"K";8103;
6420;"K";8103;
6430;"K";8103;
6499;"K";8103;
